"","time","mag","x","y","YR","MO","DAY","HR","MN","SEC"
"103",223.3247895,3.05,11.0985,43.729667,1981,8,11,17,16,55.8
"104",223.535172444444,3.342955,13.195,42.609,1981,8,11,22,19,52.64
"105",223.722615574074,3.6208389,13.298,42.496833,1981,8,12,2,49,47.4
"106",232.610371203704,3.0860552,11.883833,45.814,1981,8,21,0,8,9.61
"107",242.584203222222,3.7948132,13.311333,46.293,1981,8,30,23,30,28.49
"108",257.814516722222,3.6,15.487167,40.724167,1981,9,15,5,2,7.73
"109",262.979378833333,3,15.706167,40.676167,1981,9,20,8,59,31.56
"110",263.251567333333,3.65,15.719,40.659167,1981,9,20,15,31,28.39
"111",263.466209537037,3.5160743,12.8075,42.742167,1981,9,20,20,40,33.88
"112",263.674451277778,4.15,15.697,40.737,1981,9,21,1,40,25.15
"113",264.28005412963,4.55,15.717167,40.678833,1981,9,21,16,12,29.76
"114",266.736189388889,3,14.434,41.2175,1981,9,24,3,9,19.9
"115",267.118887148148,4.05,15.895333,40.631833,1981,9,24,12,20,24.14
"116",268.537152037037,3.2,11.214333,43.995333,1981,9,25,22,22,42.05
"117",269.184386833333,3.15,7.2226667,46.292,1981,9,26,13,54,43.79
"118",290.601598481481,3.05,11.247833,44.1105,1981,10,17,23,55,30.85
"119",290.691414296296,3.0278992,12.806,42.503,1981,10,18,2,4,50.12
"120",290.695396777778,3.342955,12.782333,42.546333,1981,10,18,2,10,34.72
"121",290.732446388889,3.4006614,12.770333,42.5595,1981,10,18,3,3,55.41
"122",290.979461277778,3.5,16.042,37.957667,1981,10,18,8,59,37.29
"123",291.075978481481,3.4,15.9895,37.919,1981,10,18,11,18,36.45
"124",295.707842907407,3.3,11.151167,44.0735,1981,10,23,2,28,29.28
"125",295.878283722222,3.15,11.203,44.057667,1981,10,23,6,33,55.74
"126",297.540923611111,3.2488401,13.444333,43.020167,1981,10,24,22,28,7.24
"127",302.558702388889,3.2,15.737833,37.9715,1981,10,29,22,53,43.06
"128",305.501874685185,3.45,10.830333,44.589,1981,11,1,21,31,53.02
"129",320.362593277778,3.65,15.344333,40.493167,1981,11,16,18,11,19.49
"130",328.827767888889,3.1,14.777,40.4695,1981,11,25,5,21,10.84
"131",332.8285675,3.45,15.742,40.6645,1981,11,29,5,22,19.02
"132",338.846161092593,4.1855562,12.702,46.269833,1981,12,5,5,47,39.58
"133",360.270872740741,3.25,14.7245,41.4955,1981,12,26,15,59,14.02
"134",368.38612837037,3.5,14.489833,38.490333,1982,1,3,18,45,12.24
"135",368.638478907407,3.3,12.634,42.269,1982,1,4,0,48,35.78
"136",370.361905833333,3.15,10.978,43.5625,1982,1,5,18,10,19.26
"137",386.367450814815,3.1,8.2266667,44.5105,1982,1,21,18,18,18.01
"138",395.08289162963,3.3,13.229333,41.997167,1982,1,30,11,28,32.87
"139",403.81758012963,3.1121292,12.962167,42.899833,1982,2,8,5,6,29.91
"140",413.781122796296,3.7,16.085167,37.915667,1982,2,18,4,13,59.72
"141",424.264977962963,3.5,12.727167,42.251,1982,2,28,15,50,44.36
"142",434.941425722222,3.55,11.141,44.173,1982,3,11,8,4,49.09
"143",439.349713759259,3.95,13.6655,41.782333,1982,3,15,17,52,45.5
"144",445.010316611111,5.233,15.747667,39.834167,1982,3,21,9,44,1.59
"145",452.733141685185,3.1800235,13.018333,42.754667,1982,3,29,3,4,53.37
"146",456.76602462963,3.6,12.969833,37.602667,1982,4,2,3,52,14
"147",457.067171462963,3,10.988167,44.289,1982,4,2,11,5,53.81
"148",459.340424777778,3.1,7.6626667,43.9535,1982,4,4,17,39,22.16
"149",460.098759111111,3.2,13.545,46.1955,1982,4,5,11,51,22.97
"150",464.441283259259,3,14.826833,41.432667,1982,4,9,20,4,36.13
"151",469.944177777778,3,15.970167,41.735833,1982,4,15,8,8,46.32
"152",478.677569981481,3.4,15.101167,40.894833,1982,4,24,1,44,51.21
"153",480.794862648148,3.15,12.9715,42.027167,1982,4,26,4,33,45.23
"154",485.191009481482,3.4775694,13.031167,42.859667,1982,4,30,14,4,12.52
"155",485.877792888889,3.8692443,11.507,47.270333,1982,5,1,6,33,10.63
"156",487.319263796296,3.5533107,13.0365,42.812667,1982,5,2,17,8,53.2
